player,pos,team,adp_pos_rank,underdog_adp,prev_adp,adp_delta,source_url
Jaxson Dart,QB,New York Giants,QB11,88.4,85.6,-2.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jakobi Meyers,WR,Jacksonville Jaguars,WR41,90.7,88.7,-2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rico Dowdle,RB,Pittsburgh Steelers,RB33,90.8,90.8,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chris Godwin,WR,Tampa Bay Buccaneers,WR42,90.9,91.2,0.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jayden Reed,WR,Green Bay Packers,WR43,90.9,105.8,14.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Patrick Mahomes,QB,Kansas City Chiefs,QB12,93.8,90.4,-3.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ricky Pearsall,WR,San Francisco 49ers,WR44,97,87.5,-9.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Bo Nix,QB,Denver Broncos,QB13,97.9,95.4,-2.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brock Purdy,QB,San Francisco 49ers,QB14,98,95.2,-2.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Blake Corum,RB,Los Angeles Rams,RB34,98.9,100.4,1.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
J.K. Dobbins,RB,Denver Broncos,RB35,99.1,96.4,-2.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kyle Pitts,TE,Atlanta Falcons,TE7,101,99.5,-1.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Sam LaPorta,TE,Detroit Lions,TE8,102.3,102.7,0.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Matthew Stafford,QB,Los Angeles Rams,QB15,103.2,102.6,-0.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Romeo Doubs,WR,New England Patriots,WR45,103.4,94.3,-9.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jared Goff,QB,Detroit Lions,QB16,104.2,104.2,0,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Quentin Johnston,WR,Los Angeles Chargers,WR46,105.8,104.5,-1.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kyler Murray,QB,Minnesota Vikings,QB17,105.8,105.3,-0.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Michael Pittman Jr.,WR,Pittsburgh Steelers,WR47,105.9,100.1,-5.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jordan Love,QB,Green Bay Packers,QB18,107,108.7,1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jacory Croskey-Merritt,RB,Washington Commanders,RB36,109.9,142.5,32.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Josh Downs,WR,Indianapolis Colts,WR48,110,116.3,6.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
KC Concepcion,WR,Cleveland Browns,WR49,111.5,112.5,1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Matthew Golden,WR,Green Bay Packers,WR50,111.9,122.5,10.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Wan'Dale Robinson,WR,Tennessee Titans,WR51,111.9,102.1,-9.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
